code,ciudad,pais,annual_millions,annual_year,asientos,asientos_habitantes,autos_hab,average_buses,average_buses.1,average_buses.2,brand_logo,capital_day,capital_km,ciclocarriles_km,ciclovias_km,citys_ppm,citywide_fatalities,citywide_injuries,citywide_modes,clase_organizacion,corridors,costo_automovil,costo_bus,costo_bus2,costo_bus3,costo_motocicleta,daily_day,densidad_km2,depots,energia_gep,equipment_million,fare_system,feeder_routes,fleet_buses,fleet_buses.1,fleet_buses.2,fleet_buses.3,flota_articulado,flota_automovil,flota_barcos,flota_biarticulado,flota_colectivos,flota_estandar,flota_individual,flota_jeeps,flota_microbus,flota_motocicleta,flota_vans,fuel_buses,fuel_buses.1,fuel_buses.2,fuel_buses.3,fuel_buses.4,fuel_buses.5,gdp_us,infrastructure_km,instrumento_legal,integration_terminals,intersecciones_semaforicas,lane_stations,lane_ways,millones_colectivo,millones_individual,millones_pie,millones_total,modal_motorized,modal_transport,modal_transport.1,motos_hab,operaciones_exclusivas,operaciones_pico,operaciones_placa,operaciones_reversibles,operaciones_semana,operating_speed,operational_ipk,operations_center,otra_km,overtaking_lanes,patrimonio_auto3,patrimonio_hab,patrimonio_moto3,patrimonio_publico3,patrimonio_rieles3,patrimonio_tc3,patrimonio_total,patrimonio_vias3,peak_direction,peak_hour,pib_hab,pib_usd,planning_million,poblacion,population_area,population_area.1,population_city,position_doors,position_lanes,position_lanes.1,preboard_collection,prioridad_1,prioridad_2,propulsion_buses,propulsion_buses.1,propulsion_buses.2,real_information,recaudacion_ano,recursos_ferreo,recursos_neumaticos,salario_usd,sistema_km,standard_us,station_level,station_m,stations,subsidios_ano,subsidios_recaudo,superficie_km2,system_km,system_name,tarifa_metro,tarifa_microbus,tarifa_minimo,tarifa_omnibus,tarifa_tranvia,tarifa_tren,total_fleet,total_km,transfer_stations,transit_agency,trunk_lines,typical_type,unique_livery,user_rating,vagones_metro,vagones_tranvia,vagones_tren,viaje_bici,viaje_colectivo,viaje_individual,viaje_total,vias_acera,vias_brt,vias_via,victimas_fatales,victimas_hab,year_commenced
CL-SCL,Santiago,Chile,69.4434640225598,102240000,1250275,214.0054044163,252.4544022823,,,,Yes,,,,255,,,,Yes,Empresa privada,13,0.6006030151,1.0115512628,0.5937445161,0.3598451613,0.3640018273,340800,8825,,357.0448296282,,Yes,,,,0,0,1433,1649479,,,13302,5080,27720,,1626,83491,,,,,,,,13383.9,5.73,Concesión,0,2660,Concrete,Concrete,5.47995,5.986942484,2.2592518821,13.7261443661,42,35,23,14.2908761833,32.9,74,,,59,26.18,,All,59,Partial,23682.3977027997,7795.5889489087,107.612559551,1533.3749486067,6800,495.8,45543.8496970625,12924.6644861051,13500,185,18383.7261787435,107.4024897213,,5842259,6685685,446.9,4977637,Right,Curbside & Median,,Partial,1.9793242562,0.6933938477,,,,None,1578.0341010246,3887,59269,393.1997650591,15864,0.97031444252403,"Low-level platform & On-street, no level boarding",416.142857142857,127,653.6,41.4186233096,662,90.15,Transantiago corridors,0.962605234,0.9789205769,0.00257261410786438,1.0115512628,,1.0604972917,,,10,DTPM,55,Diesel,Yes,Good,1093,,39,0.5145911679,0.4069778984,0.1277909918,1.0493600581,75.15,34.55,,431,6.5964978871,2006
CO-BAQ,Barranquilla,Colombia,14.4174322576366,34500000,172616,86.1094459868,50.7547636601,,,,Yes,,,,,,,,,Empresa privada,2,0.6763756413,0.7105656939,0.9518833333,0.3621039729,0.2572986608,115000,15851.7871263641,,119.7452528131,,Yes,18,0,39,0,0,25,102782,,,961,1201,16472,,23,100658,,Diesel,,Diesel,,,,6056.1,,Permisión,1,300,Concrete,Concrete,0.984788,0.472552,0.662961,2.120301,31.2,50.2,18.6,50.2130830977,0,0,Autos/taxis,0,5.7,22,,All,,Partial,1590.8384925976,1587.2968424408,189.2864842045,144.9092114945,,134,3181.9222344031,1122.8880461065,,54,3929.92882934745,7.8780021401,,2004617,1897989,3649.97884615385,1386865,Left,Median,,None,0,0.8869755517,Combustion,Combustion,,All,215.66181909,0,6895,257.4755690795,1510.7519,0.596995124539816,High level platform,933.333333333333,15,,,126.46,14,Transmetro,,0.7105656939,0.00275974025978597,0.7105656939,,,39,,1,Transmetro S.A.,9,Diesel,Yes,,,,,0.3399492272,0.5588917983,0.1680999413,1.0669409668,,13.4,,149,7.3577667153,2010
CO-BGA,Bucaramanga,Colombia,10.5309939968824,21600000,,,,2,2,,Yes,,,,,,,,No,,1,,,,,,72000,,,,,Yes,21,102,29,0,0,,,,,,,,,,,,Diesel,,Diesel,,,,6056.1,,,2,,Concrete,Concrete,,,,,18,48,34,,,,,,,20,,All,,All,,,,,,,,,4525,45,,,,,1089269,740,525119,Left,Median,,All,,,Combustion,Combustion,,All,,,,,,0.696494311963119,High level platform,530,17,,,,8.95,Metrolínea,,,,,,,131,,0,Metrolínea S.A.,2,Diesel,Yes,,,,,,,,,,,,,,2010
CO-BOG,Bogotá,Colombia,262.392623793572,565100000,780807,86.0904066443,190.7012806603,,6.45,1.9,Yes,1293,,13,392,S50,,,No,Empresa privada,11,0.6794339764,0.6269697299,1.0836790741,0.4122401184,0.2584620757,2213236,19333.2314406012,9,258.6788880204,,Yes,107,88,1379,230,0,1454,1770895,,312,,3880,58339,,8408,667926,,,,Diesel,1.66,Diesel,1.66,6056.1,26.53,Concesión,9,1326,Concrete,Concrete,6.33199,4.174317,3.077721,13.584028,15,59,26,73.6443121493,0,0,Autos/taxis,0,121,26.2,5.3,All,,All,27409.5457604307,4228.8965280346,1256.0289718532,2316.2519649231,,1129,38354.4887574899,6243.6620602829,48000,320,6139.99762611911,55.6874514098,,9069621,9155100,3347.38574040219,7760500,Left,Median,,All,4.54472667,1.2680348487,,Combustion,Combustion,All,822.2333705283,0,200105,257.4755690795,8911.42701,0.663327916155351,High level platform,812.230215827338,139,,,469.1208,112.9,TransMilenio,,0.61,0.00243506493505958,0.6269697299,,,1697,,1,Transmilenio S.A.,117,Diesel,Yes,Good,,,,0.4258417193,0.6981537597,0.373754868,1.497750347,,109.3,,640,6.8919286362,2000
CO-CLO,Cali,Colombia,59.0940459686246,141408300,152207,54.6590804389,129.338070644,3,3,,Yes,620,,,25.5,S50,272,,No,Empresa pública,6,0.6821290174,0.6687677119,1.0199789931,0.3880081022,0.2594872907,471361,18397.0138407162,2,201.9364661824,,Yes,79,523,199,0,0,535,387106,,,,519,19717,,306,266658,,Diesel,,Diesel,,,,6056.1,7.8974358974359,,5,466,Concrete,Concrete,0.8711,1.971329,1.421079,4.263508,35,48,17,95.7594883979,0,0,,0,74,17.78,2.9,All,,Partial,5991.5464333782,3169.0064424409,501.4480250454,147.3642991135,,381,8824.6181560333,1803.2593984962,13000,25,5016.17842116679,13.968371467,,2784664,3523526,326.98,2344703,Left & Right,Median,,All,1.0892780863,1.6275096113,Combustion,Combustion,,All,164.739229078,0,5135,257.4755690795,2341,0.596995124539816,High level platform,680.566037735849,53,,,151.365,36.07,MIO,,,0.00259740259742277,0.6687677119,,,722,,4,Metro Cali S.A.,13,Diesel,Yes,Average,,,,0.5961480452,0.3336524622,0.6012667956,1.5310673029,,36.3,,476,15.9038923774,2008
CO-CTG,Cartagena,Colombia,5.57195449570495,12000000,,,,,,,Yes,,,,,S50,,,,,1,,,,,,40000,,1,,,Yes,1,36,18,0,0,,,,,,,,,,,,CNG,,CNG,,,,6056.1,,,1,,Concrete,Concrete,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,1319359,382.400730392441,1001680,Left,Median,,All,,,,,,,,,,,,0.663327916155351,High level platform,629.411764705882,17,,,,10.7,Transcaribe,,,,,,,54,20.0934579439252,0,Transcaribe S.A,,CNG,Yes,,,,,,,,,,,,,,2016
CO-MDE,Medellín,Colombia,8.98477662432424,18000000,437187,129.2208374717,80.8568388608,1,1,,Yes,672,,,57.21,S50,,,Yes,Empresa privada,2,0.6842112535,0.7565434741,0.9043911909,0.3440375851,0.2602793898,60000,19595.7093128993,1,339.1077533844,,Yes,25,47,20,0,0,24,287410,,,,2827,25949,,574,301039,,CNG,1.2,CNG,1.2,,,6056.1,,,2,618,Asphalt & Concrete,Asphalt & Concrete,2.263899,1.862952,1.485946,5.612797,30,51,19,88.9790255428,0,,Autos/taxis/motos,,33.43,16,9.6,All,1.2,Partial,4671.9171480401,2883.2915196868,566.1011933324,196.5878175005,2567,125,9754.9191003124,1628.3129414395,2450,40,5366.78074276334,18.1572038822,,3383258,3442197,5840,2223078,Left & Right,Curbside & Median,,Partial,3.2401074378,0.6933974143,Electric,Electric,,None,491.9789742775,1329,13129,257.4755690795,1802.718,0.713077509867003,"High level platform & On-street, no level boarding",640,29,,,172.653,18,Metroplús,0.7314646849,,0.00293831168838549,0.7565434741,,,67,,2,Empresa de Transporte Masivo del Valle de Aburrá Ltda. (Metro),2,CNG,Yes,,165,,,0.4500981007,0.6691476086,0.5397460081,1.6589917175,,12.5,,455,12.8004807354,2011
CO-MTR,Montería,Colombia,,,17203,39.6770832687,29.4096504628,,,,,,,,19,,,,,Empresa privada,,0.7138622956,0.627090301,1.1383724074,0.4330458964,0.2715588815,,8485.0489236791,,65.8674546406,,,,,,,,,19638,,,16,119,1909,,151,114318,,,,,,,,,,Permisión,,39,,,0.097729488,0.2725721194,0.098497,0.4687986073,,,,263.6570368969,,,,,,,,,,,304.0113461538,1923.8807767679,215.0153352843,11.6500552858,,,834.1677704757,303.4910337518,,,3583.63595987878,1.5538143813,,433586,,,,,,,,2.6592022393,0,,,,,11.6909265945,0,929,257.525083612,714.5,,,,,,,51.1,,,,0.5434782609,0.00243506493505233,0.627090301,,,,,,,,,,,,,,0.3274228864,0.3601811128,0.3936085107,1.0812125099,,,,103,15.4251654836,
CO-PEI,Pereira,Colombia,12.0354217107227,28800000,35207,56.9623886922,109.6033551931,,6,,Yes,2112,,0,1.5,S50,49,,,Empresa pública,3,0.692543449,0.7523636759,0.9204902778,0.3501618055,0.2634490231,96000,10405.2861952862,,108.1578378525,,Yes,32,0,49,0,0,86,76780,,,45,532,4187,,,135039,,,,Diesel,1.12,,,6056.1,,,2,218,Concrete,Asphalt & Concrete,0.290667,0.178252,0.176168,0.645087,32,46,22,218.4835472775,,,,,11.9,20,6,All,0,None,1248.0769584445,3670.3538894749,253.9396524916,40.3423598663,,300.7,2268.5503098833,425.491339081,6900,15,3944.23999310762,2.4378321895,,618074,700577,828.105200945627,469644,Left,Median & Left,,All,0.1503126503,3.0062530063,,Combustion,,None,67.793060699,0,3687,257.4755690795,997.92,0.596995124539816,High level platform,553.571428571429,28,,,59.4,15.5,Megabús,,,0.00292207792214917,0.7523636759,,,49,5.7,1,Megabús S.A.,3,Diesel,Yes,Excellent,,,,0.3192983364,0.4708578584,0.2535489278,1.0437051227,,30,,105,14.9887370347,2006
CR-SJO,San José,Costa Rica,,,150400,111.4700783626,298.4800331355,,,,,,,5,,,,,,Empresa privada,,0.8046976382,0.2502688072,3.2153333333,0.8931481481,0.2235271217,,5358.170843096,,477.6184788919,,,,,,,,,451834,,,,1860,7405,,,103043,,,,,,,,,,Concesión/Permisión,,425,,,1.116974,1.36448,0.525,3.006454,,,,76.3710856696,0,0,,0,0,,,,,,7748.0710763413,8600.14378269,210.1281005524,150.339253272,200,,11603.6665975004,3295.1281673346,,,13117.3778583663,17.698504019,,1349241,,,,,,,,0.0985221675,0,,,,,87.2607817656,75,7440,515.7533461866,5075,,,,,,,251.81,,,,,0.000485249022716864,0.2502688072,,0.444922324,,,,,,,,,16,,,0.3961516141,0.8278535858,1.0042505379,2.2282557379,,,,53,3.5011623198,
EC-GYE,Guayaquil,Ecuador,16.695,79500000,,,,,4,,Yes,2644,,,,,,,,,3,,,,,,310000,,,,,Yes,24,0,115,0,0,,,,,,,,,,,,,,Diesel,1.7,,,6248.1,0.86,,4,,Concrete,Concrete,,,,,1,83,16,,,,,,,21.5,12.43,All,,Partial,,,,,,,,,15000,30,,,,,3225384,7227.01,2690000,Left,Curbside & Median,,All,,,,Combustion,,None,,,,,,0.3,High level platform,698.461538461538,65,,,,45.4,Metrovía,,,,,,,115,,2,Metrovía,4,Diesel,Yes,Good,,,,,,,,,,,,,2006
EC-UIO,Quito,Ecuador,39.1125,223500000,283470,126.5948282214,160.8179025371,6,,,Yes,853.9,,53.71,119.33,,,,No,Empresa privada/cooperativa,3,0.4181600956,0.25,1.6726403823,1.4675052411,0.3668763103,745000,4347.9846397594,36,435.8120103743,,Yes,,266,309,0,0,348,360102,,,,2531,13136,,,26651,,Diesel,2.4,Diesel,1.12,,,6248.1,2.99,Permisión,5,600,Concrete,Asphalt & Concrete,2.230584,1.0229298,0.667957,3.9214708,3,62,35,16.459911583,0,16.4,Autos,0,59.665,17.8,4.74,Partial,,Partial,6676.29108,4541.9368809849,118.730205,433.533237,,239.5,10170.2641864695,2702.2096644695,11700,140,2876.48530205775,6.441,,2239191,2151993,439.8,1619791,Left & Right,Curbside & Median,Curbside & Median,Partial,4.1491626863,1.6544858146,Combustion,Hybrid,,None,172.87026,0,11620,354,4170.48,0.25,High level platform,566.666666666667,126,22,12.7263070004,372.39,71.4,Metrobus-Q,,,0.000706214689265537,0.25,,,582,,11,Empresa Pública Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ),15,Diesel,Yes,,,,,0.3005357739,0.9961562011,0.4545971291,1.751289104,34.5,,34.1,148,6.6095299597,1995
GT-GUA,Guatemala,Guatemala,5.7549262690852,63000000,,,,20,15,,Yes,,,,,,,,No,,2,,,,,,210000,,,,,Yes,5,30,81,0,0,,,,,,,,,,,,,,,1.4,,,3903.5,2.6,,1,,Concrete,Concrete,,,,,1,23,76,,,,,,,26.5,,All,,Partial,,,,,,,,,12500,30,,,,,3134276,1420,1533461.19371746,Left & Right,Median,,All,,,,,,None,,,,,,0.130497194310322,High level platform,800,30,,,,24,Transmetro,,,,,,,130,,3,Transmetro Guatemala,5,Diesel,Yes,,,,,,,,,,,,,,2007
MX-ACA,Acapulco,México,11.1821086261981,30000000,,,,,,,Yes,,,,,,,,,,1,,,,,,100000,,,,,,11,47,29,0,0,,,,,,,,,,,,,,,,,,9009.3,4.99201277955271,,2,,Concrete,Asphalt & Concrete,,,,,,67.2,,,,,,,,31.9,,,,,,,,,,,,,,,,,,,863431,244,789971,Left,Median,,All,,,,,,None,,,,,,0.53248136315229,High level platform,1000,16,,,,16,Acabús,,,,,,,76,,10,,5,,Yes,,,,,,,,,,,,,,2016
MX-CUU,Chihuahua,México,3.91373801916933,15000000,,,,,,,Yes,,,,,,,,No,,1,,,,,,50000,,2,,,No,23,,84,0,0,,,,,,,,,,,,,,,,,,9009.3,,,2,,Concrete,Concrete,,,,,22.2,14.4,63.4,,,,,,,,,All,,None,,,,,,,,,,,,,,,852533,47.0676732409794,819543,Left,Median,,All,,,,,,None,,,,,,0.372736954206603,High level platform,622.222222222222,36,,,,22.4,ViveBús,,,,,,,84,,0,Coordinadora de Transporte Colectivo de la Ciudad de Chihuahua (CTC),1,,Yes,,,,,,,,,,,,,,2013
MX-GDL,Guadalajara,México,9.9408945686901,38100000,362015,80.1710806547,401.9346600288,,2,,Yes,3100,,,72,,,,Yes,Org. Públicos /Asoc. Civiles/Empresas,1,0.6174918092,0.7462686567,0.8274390244,0.37996,0.2835522388,127000,6520.3964050343,,359.0714949183,,Yes,15,0,41,0,0,41,1854252,,,,5247,12747,,,159233,,,,Diesel,1.37,,,9009.3,2.9,"Ley de Movilidad, Reglam. y Normas",2,1823,Concrete,Concrete,3.1557797047,3.3854267886,3.8461891386,10.3873956319,45,28,27,35.2634053448,,,,,65,28,10,All,,Partial,22703.9596452537,7742.1889452369,299.4362568235,1562.9419091646,680,161,34960.0941900744,9552.7563788325,9000,12,16348.5342992441,73.8223134328,2.34,4515531,4434252,1967.5,1494134,Left,Median,,All,0.6897212377,0.1532713861,,Combustion,,None,714.6754502393,96,10658,225.9701492537,10439,0.372736954206603,High level platform,592.592592592593,27,,,692.524,16,Macrobús,,,0.00330250990745753,0.7462686567,,0.5223880597,41,,1,Sistema de Tren Electrico Urbano (SITEUR),2,Diesel,Yes,Good,,,48,0.9011067261,0.6988723374,0.6924192462,2.2923983097,,16.1,,244,5.2890360667,2009
MX-GLP,Guadalupe,México,,4500000,,,,,,,Yes,,,,,,,,Yes,,1,,,,,,15000,,,,,,0,78,10,0,0,,,,,,,,,,,,,,,,,,9009.3,10.94,,0,,Asphalt,Asphalt,,,,,4.3,54.5,41.2,,,,,,,20,,All,,None,,,,,,,,,,15,,,,,3700000,553.089077238142,690600,Left & Right,Curbside & Median,,All,,,,,,,,,,,,,High level platform,447.058823529412,17,,,,7.6,TransMetro,,,,,,,88,,1,Metrorrey,1,Diesel,Yes,,,,,,,,,,,,,,2005
MX-JUZ,Juárez,México,4.83067092651757,16200000,,,,,,,Yes,,,,,,,,,,1,,,,,,54000,,,,9.42,,,60,,,,,,,,,,,,,,,CNG,,,,,,9009.3,,,,,Concrete,Concrete,,,,,4.9,36.1,59,,,,,,,,,,,None,,,,,,,,,,,,,,,1332131,67.9,1332131,Left & Right,Median,,All,,,Combustion,,,,,,,,,0.425985090521832,High level platform,757.575757575758,33,,,,25,EcoViveBús,,,,,,,60,,,Integradora de Transporte de Juárez,,,Yes,Good,,,,,,,,,,,,,2013
MX-LEN,León de los Aldama,México,19.7252396166134,66150000,110440,73.9686979259,255.6950856784,6.6,5.2,,Yes,,,,101,,,,,Empresa privada,1,0.6174918092,0.5970149254,1.0342987805,0.47495,0.2835522388,220500,5966.3301597433,,178.1695460341,,Yes,80,528,90,0,0,103,427166,,,,1566,4200,,,31365,,Diesel,2.4,Diesel,1.2,,,9009.3,1.078018,Concesión,5,572,Concrete,Concrete,0.993708,0.9277496,0.88,2.8014576,39.15,33.85,27,21.0071370015,,,,,,25.5,,All,,None,5230.3352650149,5090.9888484222,58.981606798,513.3222708008,,150,7601.1721739807,1648.533031367,7000,45,30760.8950953208,45.9279850746,0.85,1493064,1360310,6382,1278087,Left,Median,Median,All,3.7898686679,0.5628517824,Combustion,Combustion,,None,183.9101373134,0,6676,214.1529850746,2665,0.425985090521832,High level platform,521.311475409836,61,,,250.2483034,31.8,Sistema Integrado de Transporte Optibus,,,0.00278779642129214,0.5970149254,,,618,,5,Dirección General de Movilidad,9,Diesel,Yes,Good,,,,0.5893920153,0.6655495009,0.5209084138,1.7758499301,,15,,,,2003
MX-MEX,Mexico City,México,73.8019169329074,330000000,3586222,175.8559698327,199.4050234733,,3.5,3.5,Yes,,,,103,S15,,,,Autónomo/empresas públicas y privadas,6,0.6174918092,0.3731343284,1.6548780488,0.75992,0.2835522388,1100000,7817.6607899543,,786.3813588742,,Yes,2,55,452,41,0,348,4190620,,41,,8863,247551,,35172,172162,73583,Diesel & Hybrid,1.3,Diesel,1,Diesel,1.45,9009.3,2.88,Concesión,10,3076,Asphalt & Concrete,Asphalt & Concrete,25.246926,9.10319,8.766764,43.11688,1.4,77.9,20.7,8.4422312613,,33.48,Autos/taxis,,48,,,All,,None,51311.077118209,4963.9402240221,323.7491276761,5244.3342016883,19280,2527.74,101229.384791471,22542.484343898,12000,77,9445.43206748411,192.6202238806,,20392950,19152258,2450.70479846449,8851080,Left & Right,Curbside & Median,Curbside,Partial,0.3164528766,1.2676549213,Combustion,Combustion,Combustion,None,2390.6246714925,15000,289731,225.9701492537,32548.29,0.319488817891374,High level platform & Low-level platform,664.893617021277,188,344.1,14.3937274681,2608.574425,125,Metrobús,0.3731343284,0.2985074627,0.00165125495395003,0.3731343284,,0.2985074627,548,,40,METROBÚS,20,Diesel,Yes,,2136,,43,0.4533669724,1.2380222577,0.4229139972,2.1143032273,104.12,155.4,153.1,871,4.1445364993,2005
MX-MEXM,Mexico City - Metropolitan Area,México,33.9936102236422,114000000,,,,,,,Yes,,,,,S15,,,,,3,,,,,,380000,,,,,,,10,200,,,,,,,,,,,,,,,,Diesel,1.3,,,9009.3,,,6,,Concrete,Asphalt & Concrete,,,,,1,78.3,20.7,,,,,,,20.95,,,,Partial,,,,,,,,,9000,20,,,,,19152258,2450.70479846449,19152258,Left & Right,Median,,All,,,,Combustion,,None,,,,,,0.425985090521832,High level platform,620,90,,,,55.8,Mexibús,,,,,,,210,,1,,9,Diesel,Yes,,,,,,,,,,,,,,2010
MX-MTY,Monterrey,México,,,,,,,,,Yes,,4.08224522386482,,,,,,Yes,,1,,,,,,100000,,,,,Yes,24,,,,,,,,,,,,,,,,,,,,,,9009.3,,,2,,Concrete,Asphalt,,,,,4.3,54.5,41.2,,,,,,,,,All,,None,,,,,,,,,,,,,,,3700000,553.089077238142,1135550,Left & Right,Median,,All,,,,,,All,,,,,,0.670926517571885,Low-level platform,771.794871794872,39,,,,30.1,Ecovía,,,,,,,80,4.15218999812866,0,SITME,1,CNG,Yes,,,,,,,,,,,,,,2014
MX-PAC,Pachuca,México,10.1980830670927,34200000,,,,,,,Yes,,,,,,2,208,,,1,,,,,,114000,,1,,,Yes,19,43,0,0,0,,,,,,,,,,,,Diesel,,,,,,9009.3,,,1,,Concrete,Concrete,,,,,3,70,27,,,,,,,,,All,,Partial,,,,,,,,,,,,,,,512196,428.078562473882,267862,Left,Median & Curbside,,All,,,Combustion,,,,,,,,,0.425985090521832,Low level platform,634.615384615385,26,,,,16.5,Tuzobús,,,,,,,43,5.16951515151515,0,SITMAH,3,Diesel,Yes,,,,,,,,,,,,,,2015
MX-PBC,Puebla,México,21.1093610223642,75511200,,,,,,,Yes,,,,,,,,No,,2,,,,,,251704,,1,,,Yes,25,,,,,,,,,,,,,,,,,,,,,,9009.3,,,3,,Concrete,Concrete,,,,,14.4,40.6,45,,,,,,,,,All,,None,,,,,,,,,,,,,,,2728790,76.56,1539819,Left,Median,,All,,,,,,,,,,,,0.399361022364217,High level platform,489.393939393939,66,,,,32.3,Red Urbana de Transporte Articulado (RUTA) ,,,,,,,115,,,RUTA,2,,Yes,,,,,,,,,,,,,,2013
PA-PTY,Panama,Panamá,,,200540,113.2109130488,234.2592007154,,,,Yes,,,0,7.6,,,,,Empresa pública,1,0.5348314607,0.25,2.1393258427,0.83776,0.20944,,6172.0696864112,6,751.7598664829,,Yes,,120,0,0,0,,414963,,,,1236,44399,,1753,15430,,Ethanol and gasoline,,,,,,13268.1,,,,180,Concrete,Concrete,0.659884,1.029234,0.183281,1.872399,20.2,73.5,6.3,8.7107030435,,30,,,,,,All,0,None,5818.1132304,5257.2539116553,35.489,382.894677445,1096,7,9312.6154630435,1973.1185551986,9500,,26086.9467038203,46.21,,1771384,1206792,498,813097,Right,Median,,Partial,0.3706919257,0.1707133869,,,,None,53.41579,1800,8759,496,2050.22,0.25,"On-street, no level boarding",294.117647058824,17,2.4,4.4930534585,287,5,Metrobús,0.35,,0.000504032258064516,0.25,,,1236,,,Mi Bus,4,Diesel,Yes,,60,,,0.1054949125,0.5740375887,0.5790065847,1.2585390858,3.5,,,58,3.2742759334,2011
PE-LIM,Lima,Perú,54.5041971939608,105000000,1872853,192.0480986882,122.1403814602,1,1,,Yes,,,43.67,95.93,,,,,Autónomo,1,0.5835725024,0.5031868501,1.1597530864,0.3313580247,0.1667350007,350000,12211,,568.660781539,,Yes,23,175,312,0,0,288,1191113,,,2523,3120,89172,,18453,36372,51733,CNG,,CNG,,,,6121.9,,Autorizacion temporal,2,1336,Concrete,Concrete,11.345,5.501,5.416,22.262,26,62,12,3.7296964725,0,0,,0,6,25.5,,None,25.4,All,19717.7349476015,3348.2780131927,61.7652929889,1826.1774948911,1760,297,32652.4071846553,8989.7294491738,22800,117,6944.54955214315,67.7232472325,,9752000,8482619,3008.8,7605742,Left,Median,,Partial,1.2206814649,0.2515343625,Combustion,Combustion,,None,677.3887957061,875,39434,251.5934250252,13517.0398459999,0.741553703319194,High level platform,700,36,,,798.6,26,Metropolitano,0.5031868501,0.3354579,0.00200000000019714,0.5031868501,,,487,,2,Instituto Metropolitano PROTRANSPORTE de Lima ,8,CNG,No,Good,125,,,0.563269073,1.2992206727,0.4203240361,2.2828137818,,26,7.4,474,4.8605414274,1972
SV-SALM,Gran San Salvador,El Salvador,1.8711,8100000,,,,,,,Yes,,6.15625,,,S50,,,,,1,,,,,,27000,,,,2.75,,0,,,,,,,,,,,,,,,,,,,,,,4219.4,5.7265625,,0,,Concrete,Concrete,,,,,,,,,,,,,,15.4,,Partial,,,,,,,,,,,3000,140,,,5.6,,2177432,3689.7,2177432,Left & Right,Median,,All,,,,,,,,,,,,0.33,High level platform,711.111111111111,9,,,,6.4,SITRAMSS,,,,,,,67,7.03125,,SITRAMSS,,Diesel,Yes,Good,,,,,,,,,,,,,2013
TT-POS,Port of Spain - Arima,Trinidad y Tobago,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,20444.1,,,,,Asphalt,Asphalt,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,442579,573.125534174199,442579,Left,Median,,None,,,,,,None,,,,,,0.373443673490727,"On-street, no level boarding",,,,,,24.9,,,,,,,,,,,PTSC,,,,,,,,,,,,,,,,,2011
UY-MVD,Montevideo,Uruguay,4.91211655416695,7500000,123280,68.2022499882,235.0233877582,,,,No,,,8.009,9.779,,,,Yes,Empresa privada/cooperativa,1,1.2128550595,0.9193972072,1.3191850594,0.5276740238,0.4851420238,25000,3121.8739205527,,507.6063289587,,Yes,10,,,0,0,,441000,,,,1528,2975,,,185012,,,,,,,,15573.9,,Permisión,2,641,Concrete,Concrete,0.9984366733,1.4540610018,0.2895824807,2.7420801558,12,45,43,102.3542721839,,,,,,20,,,15.011,None,10955.6748,7586.7989175536,296.0192,209.6858999585,600,178,13713.6321854078,1474.2522854493,,18,14162.8261704005,25.6002288867,,1807565,1973572,203.46,1335484,Right,Median,,None,0.4820125723,0.949418703,,,,All,284.6215198562,0,6112,371.6300290336,6846.294453,0.935641248412752,"On-street, no level boarding",370,17,88.9,31.2344618372,579,6.3,Sistema de Transporte Metropolitano,,,0.00247395833321337,0.9193972072,,1.0783907092,,,0,Departamento de Movilidad,2,Diesel,No,,,,13,0.2212477881,0.552365571,0.7433888819,1.517002241,59,6,,103,5.4892083762,2012
VE-BRM,Barquisimeto,Venezuela,16.73658,39849000,,,,,,,Yes,,,,,,,,,,2,,,,,,132830,,1,,,Yes,6,,,0,0,,,,,,,,,,,,,,,,,,12265,,,3,,Asphalt & Concrete,Asphalt & Concrete,,,,,,,,,,,,,,26,,,,None,,,,,,,,,,,,,,,2663256,283.4,1242351,Right,,Median,None,,,,,,None,,,,,,0.6,Low-level platform,582.926829268293,41,,,,23.9,Transbarca,,,,,,,,3.27728033472803,,Ministerio del Poder Popular para Transporte Terrestre y Obras Publicas (MPPTTOP),2,,Yes,,,,,,,,,,,,,,2013
VE-CCS,Caracas,Venezuela,2.52,9000000,603172,167.0333614228,368.767077614,,0,,Yes,,,14,12,,,,Yes,Empresa Privada/Pública,1,0.0013122584,0.9523809524,0.0013778713,0.0003936775,0.000374931,30000,13855,,555.1362126406,,Yes,16,0,30,0,0,50,1331650,,,47,1328,13890,5099,10964,237670,273,,,CNG,,,,12265,,Permisos,2,547,Concrete,Concrete,4.2824669737,2.162973006,1.0776515685,7.5230915482,18.4,56.9,24.7,65.8167471457,,16.6,,,17.9,,,,,None,9107.0925837935,4719.0068780855,184.8274679735,299.6240802431,5088,52,17040.7443903652,2309.2002583551,,,,,,3611087,3247971,4009,1943901,Left & Right,Median,,All,0.9641056066,0.1928211213,,,,None,604.850278778,9000,42276,,2696.8,0.4,High level platform,470,11,711.1,117.5662845749,260.63,5.2,BusCaracas,0.6349206349,1.1904761905,,0.9523809524,,0.6349206349,30,,2,Metro Caracas,1,CNG,Yes,Good,585,,86,0.2984285808,1.3151737894,0.4563069268,2.069909297,,5.2,,273,7.5600504779,2012
VE-MRD,Merida,Venezuela,2.52,9000000,,,,,,,Yes,666.666666666667,,,,,,,,,1,,,,,,30000,,,,,No,3,0,45,0,0,,,,,,,,,,,,,,Diesel,,,,12265,2.11538461538462,,1,,Concrete,Asphalt,,,,,2,54,44,,,,,,,25,,All,,None,,,,,,,,,9000,15.6,,,,,447259,169.47,250303,Right,,Median,All,,,,Hybrid,,All,,,,,,0.4,High level platform,625,21,,,,13.1,Tromerca,,,,,,,45,,1,Trolebus Mérida C.A (TROMERCA),1,Hybrid,Yes,Good,,,,,,,,,,,,,2007
